Aaliyah	Arabic, Hebrew	high exalted, to ascend
Berenice	Greek	The bringer of victory. Also see Veronica.
Berit	Old German	bright, glorious
Bernadette	French from Teutonic	As brave as a bear. The feminine form of Bernard. Generally a Catholic name.
Bernadine		Bold as a bear. From the name Bernard.
Bernia	Old English	A maiden of battle.
Bernice		Brings victory.
Bernina		After a peak in the Swiss Alps.
Berry	Old English	A fruit or berry. Also a nickname from Berenice and Bernadette.
Berta		A bright or famous pledge. The feminine form of Gilbert.
Bertana	Aboriginal	The day.
Bertha	Teutonic	Bright and shining. Also see Roberta.
Berthilda	Old English	A shining warrior maid.
Berwyn	Welsh	Fair-haired, or a bright friend. A boy or girl's name.
Beryan	Cornish	The name of a saint.
Beryl	Greek	A precious green jewel.
Bess		Consecrated to God. Also see Isabel and Lisa.
Bessie		Consecrated to God. Also see Isabel and Lisa.
Bessy		Consecrated to God. Also see Isabel and Lisa.
Beta	Czech	dedicated to god
Beth	Hebrew	house of god
Bethan	Welsh	A form of Elizabeth, meaning consecrated to God.
Bethany	Hebrew	A house of poverty. A placename from the New Testament.
Bethel	Hebrew	The house of God.
Bethesda	Hebrew	A house of mercy. A place mentioned in the Bible.
Bethia	Hebrew	The daughter of God.
Bethshaya	English	Beth, Shaya, Shay
Betrys	Welsh	The blessed one. She who brings joy. Form of Beatrice.
Betsey		A form of Elizabeth, meaning consecrated to God.
Betsy		A form of Elizabeth, meaning consecrated to God.
Bette		Consecrated to God. Also see Isabel and Lisa.
Bettie		Consecrated to God. Also see Isabel and Lisa.
Bettina		Consecrated to God. Also see Isabel and Lisa.
Betty		Consecrated to God. Also see Isabel and Lisa.
Beulah	Hebrew	The married one. Also a biblical placename.
Beverley	Old English	From the stream of the beaver. Originally derived from a surname.
Beverly	Old English	From the stream of the beaver. A boy or girl's name.
Bevin	Irish Gaelic	Sweet voiced, melodious.
Bharati	Hindu	
Bhavya	Hindu	
Bhayana	Hindu	
Bhoomi	Hindu	earth
Bian	Vietnamese	Secretive, or hidden.
Bianca	Italian	Fair-haired, or of a fair complexion. Form of Blanche. Used by Shakespeare for characters in two of his plays.
Bibi	Arabic	A lady.
Biddy	Irish	Strong, spirited. An ancient Celtic goddess. From the name Bridget.
Bijal	Hindu	
Billie	Teutonic	A wise ruler or protector. Feminine form of Billy and William, and also a diminutive of Wilhelmina.
Bina	Hebrew	Intelligence, understanding. Also a Diminutive of Sabina.
Binda	Aboriginal	Deep water.
Bindiya	Hindu	
Binty	Swahili	Daughter
Birdie	Modern English	A little bird.
Birget	Norwegian	protecting
Birgit	Scandinavian	Strong, spirited. An ancient Celtic goddess. Forms of Bridget.
Birgitta	Scandinavian	Strong, spirited. An ancient Celtic goddess. Forms of Bridget.
Birgitte	Scandinavian	Strong, spirited. An ancient Celtic goddess. Forms of Bridget.
Birkita	Celtic	strength
Blaine	Irish Gaelic	Thin. A boy or girl's name.
Blair	Scottish Gaelic	From the plain or field. A boy or girl's name.
Blaise	Latin	One who lisps or stammers. A boy or girl's name.
Blake	Old English	Fair-haired. A boy or girl's name.
Blanche	Old French	Fair-haired, or of a fair complexion. Also see Bianca and Blondelle.
Blanda	Teutonic	dazzling
Blaze		A flame.
Blenda		Beautiful. From the name Belinda.
Blinda		Beautiful. From the name Belinda.
Blinn		
Bliss	Old English	Joy, gladness.
Blodwen	Welsh	White flower, or blessed flower.
Blondelle	French	The little blond or fair one. Also see Bianca and Blanche.
Blossom	Old English	A flower or bloom.
Bluma	Old German	a flower, bloom
Bly	Native American	high, tall
Blythe	Old English	Joyous and cheerful. A boy or girl's name.
Bo	Old Norse/Chinese	Old Norse: A householder. Chinese: Precious. A boy or girl's name.
Bo-Bae	Korean	treasure, precious
Boa		
Bobbi		Bright fame, famous. Feminine form of Robert. Also see Robin.
Bobbie	Teutonic	Famous, bright fame. A boy or girl's name.
Bobby	Teutonic	Famous, bright fame. A boy or girl's name.
Bodil	Old Norse	A battle maiden.
Bohdana	Russian	from god
Bona	Latin	Good.
Bonita	Spanish	Pretty.
Bonnie	English/Scottish	Fine, pretty. Also see Bonita.
Bonny	English/Scottish	Fine, pretty. Also see Bonita.
Borgny	Norwegian	help, new
Boronia		A plant name.
Bracha	Hebrew	a blessing
Brandee		Brandy, after dinner drink.
Brandi	beacon light	
Brandie	Dutch	Brandy, fine wine.
Brandy	Dutch	Brandy, fine wine. Also a feminine form of Brandon.
Branka	Slowenian	
Branwen	Welsh	Beautiful, or a holy raven.
Breda		A city in the Netherlands.
Bree		Strong, spirited. An ancient Celtic goddess. From the name Bridget and Briana, but also an independent name.
Brenda	Old Norse	A flaming sword.
Brenna	Irish Gaelic	Raven-haired.
Bretta	Celtic	from Britain
Briallen	Welsh	A Primrose.
Briana	Celtic	Noble, honourable. The feminine form of Brian.
Brianna		See Brian.
Brianne		See Brian.
Briar	Middle English	A thorny plant.
Bridget	Irish Gaelic	Strong, spirited. An ancient Celtic goddess. St Brigid is one of Ireland's patron saints.
Bridgit		Strong, spirited. An ancient Celtic goddess. From the name Bridget.
Brie		Strong, spirited. An ancient Celtic goddess. From the name Bridget and Briana, but also an independent name.
Brier	French	heather
Brietta	Celtic	strong
Brigit		Strong.
Brigitte	French/German	Strong, spirited. An ancient Celtic goddess. From the name Bridget.
Brilynn	strength, casade	
Brina	Celtic	protector
Briony		A vine-like plant.
Brit		From the name Britannia.
Britany		From the name Brittania.
Brites	Celtic	strength
Britt		A Swedish form of Bridget.
Brittania		From Brittain, British.
Brittany	Latin	Britain. Also the name of a French province.
Brittnee		From Britain.
Brodie	Irish Gaelic	A ditch. A boy or girl's name.
Bron	African	The source.
Brona	Irish	Sorrow.
Bronnen	Cornish	A rush.
Bronte	English	From the surname of the Bronte sisters, novelists Anne, Charlotte and Emily.
Bronwen	Welsh	White or fair breasted.
Bronwyn	Welsh	fair breast
Bronya	Slavonic	Armour, protection.
Brook	Old English	At the brook or stream. A boy or girl's name.
Brooke	Old English	At the brook or stream. A boy or girl's name.
Bruna	Teutonic	Brown, or dark-haired. The feminie form of the boy's name Bruno. Also see Bruella.
Brunella	Teutonic/Italian	Brown-haired. Also See Bruna.
Brunhilde	Teutonic	An armed warrior maiden. The name given to a warrior queen in Germanic legend.
Bryanne		Strong one.
Brygid	Polish	Strength.
Brygida		Irish Gaelic: Strong, spirited. An ancient. Celtic: Goddess. St Brigid is one of Ireland's patron saints.
Bryher	Celtic	The name of one of the Scilly Isles, off the coast of Cornwall.
Bryn	Welsh	A hill. A boy or girl's name.
Bryna	Irish	Strength.
Bryony	Greek	A vine-like plant.
Brysen		
Buena	Spanish	Good.
Buffy		A form of Elizabeth, meaning consecrated to God.
Bunny	English	A little rabbit.
Bunty	English	Originally used as a pet count, perhaps meaning a lamb.
Burdette		Courageous.
Burilda	Aboriginal	A black swan.
Buttercup		A flower name.
Butterfly		A butterfly.
Cade		Pure.
Cadee		Pure.
Cadence	Latin	Rhythmic.
Cadrian	Rhian	
Caelyn	loved forever	Cay
Cai	Vietnamese	
Cailey		
Cailin	Gaelic	A girl.
Caimile	African	A family is born.
Cairine	Gaelic	Pure. From the name Catherine or Katherine. Also used as an independent name.
Cairistiona	Scottish Gaelic	A follower of Christ, a Christian.
Cait	Irish Gaelic	Pure, virginal.
Caitlin	Irish Gaelic	Pure. From the name Catherine or Katherine. Also used as an independent name.
Caitlyn		Pure. From the name Catherine or Katherine. Also used as an independent name.
Caitrin	Irish Gaelic	Pure. From the name Catherine or Katherine. Also used as an independent name.
Caja	Cornish	A daisy.
Cala	Arabic	castle
Calandra	Greek	A lark.
Calantha	Greek	A beautiful blossom.
Caledonia	Latin	A woman from Scotland.
Calendre	Greek	
Caley	Irish Gaelic	Slender. A boy or girl's name.
Calida	Latin	Warns and loving.
Calista	Greek	The most beautiful one.
Calix		Very handsome.
Calixte		Very beautiful.
Calla	Greek	Beautiful.
Callan	German	chatter
Callia	French	Beautiful.
Callidora	Greek	The gift of beauty.
Calliope	Greek	A beautiful voice. The muse of poetry in Greek mythology.
Callista		Most beautiful.
Callisto	Greek/Latin	Greek: A mythological nymph. Latin: The beautiful little one.
Caltha	Latin	yellow flower
Calypso	Greek	A legendary sea nymph. Also a West Indian style of music.
Cam	Vietnamese, English	orange fruit, sweet, beloved, referring to the sun
Cambria	Latin	An ancient name for Wales.
Camelai	Latin	flower name
Camellia		A flower name.
Cameo	Italian	An engraved gem.
Camilla	Latin	From a Roman family name, possibly meaning noble.
Camille	Latin	Virginal, unblemished character. Also from a Roman family name. A boy or girl's name.
Camira	Aboriginal	Of the wind.
Canace	Greek	The daughter of the wind.
Candace	English/Latin	Possibly meaning brilliant white or clarity. The name of several queens of Ethiopia, and mentioned in the Bible.
Candice		Possibly meaning brilliant white or clarity. From the name Candace.
Candida	Latin	White.
Candide		Dazzling white.
Candie		Possibly meaning brilliant white From the name Candace.
Candra	Latin	Luminescent.
Candy	English	The sweet one. Also a nickname from Candace and Candida.
Cantara	Arabic	small bridge
Caoimhe	Celtic	gentleness, beauty, grace
Capri		Italian island.
Caprice	Italian	Unpredictable, whimsical.
Cara	Irish Gaelic/Cornish/Italian	Irish Gaelic: A friend. Cornish: Love. Italian: The beloved one.
Caragh	Irish	Love.
Carajean	sweet melody	Cari
Caralee		From Cara and Lee. Cara - Irish Gaelic: A friend. Cornish: Love. Italian: The beloved one. Lee - A meadow or a clearing.
Caralyn		From Cara and Lynn. Cara - Irish Gaelic: A friend. Cornish: Love. Italian: The beloved one. Lynn - A waterfall.
Cardinia	Aboriginal	The dawn.
Caren		Pure. Also see Catherine, Karen and Kathleen.
Carensa		Love.
Carenza		Love.
Caresse		Beloved.
Carew	Latin	run
Carey	Irish/Celtic/Cornish	Irish: The name of a castle. Celtic: From the river. Cornish: The loved one. A boy or girl's name.
Carha		A pillar stone.
Cari	Turkish	flows like water
Carin	Irish Gaelic/Cornish/Italian	Irish Gaelic: A friend. Cornish: Love. Italian: The beloved one.
Carina	Aboriginal	A bride. Also see Cara.
Carine		Irish Gaelic: A friend. Cornish: Love. Italian: The beloved one.
Carissa	Latin	The most beloved one.
Carla		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Carleigh	German	freeholder
Carlen	Teutonic	woman
Carley		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Carlie		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Carlin	Cornish/IrishGaelic	Cornish: From the fort by the pool. Irish Gaelic: The little champion. A boy or girl's name.
Carlina	Italian	A free person.
Carling	Old English	hill wehre old women or witches gather
Carlota		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Carlotta		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Carly		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Carmel	Hebrew	A garden or orchard.
Carmela	Italian	A garden or orchard.
Carmelita	Spanish	A garden or orchard.
Carmen	Spanish	A garden or orchard.
Carmine		A garden or orchard.
Carmita		A garden or orchard.
Carna	Arabic	horn
Carnation		A flower name.
Carnelian		The name of a gemstone. A boy or girl's name.
Carol		A free person.
Carolena		Little and womanly.
Caroline		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Carolyn		From the name Carol and Linda. Carol - A free person. Lyn - A waterfall.
Caron	French	pure
Carreen	English	A character in Margaret Mitchell's Gone With the Wind. Also see Cara.
Carrie	English	A free person.
Carrieann		Gracious and womanly.
Carrigan	Gaelic	
Carrington	Old English	beautiful
Carryl	Welsh	Love. Also see Carol.
Cary	Irish/Celtic/Cornish	Irish: The name of a castle. Celtic: From the river. Cornish: The loved one. A boy or girl's name.
Caryn	Irish Gaelic/Cornish/Italian	Irish Gaelic: A friend. Cornish: Love. Italian: The beloved one.
Carys	Welsh	The beloved one.
Cascadia	Greek	Cassie, Cass, Cassi, Cassee
Casey	Irish Gaelic	The vigilant one. A boy or girl's name.
Casilda	Latin	of the home
Casondra		Not to be believed.
Cassandra	Greek	In legend, a Trojan princess with the gift of prophecy.
Cassia	Hebrew	From the Cassia tree, a variety of cinnamon. Also see Kezia.
Cassiel	Latin	angel of saturday, the earthy mother
Casta	Latin	Pure and modest.
Castalia	Greek	A mythological figure.
Catalin		Wizard.
Catalina	Spanish	Pure. From the name Catherine or Katherine. Also used as an independent name.
Catalonia	Spanish	A region of Spain.
Catarina	Portuguese	Pure. From the name Catherine or Katherine. Also used as an independent name.
Catava	African	name from a proverb
Caterina	Italian	Pure. From the name Catherine or Katherine. Also used as an independent name.
Cathay		An archaic name for China.
Cathee		Pure. From the name Catherine or Katherine. Also used as an independent name.
Catherine	Greek	Pure. From the name Catherine or Katherine. Also used as an independent name.
Cathie		Pure. From the name Catherine or Katherine. Also used as an independent name.
Cathleen	Irish	Pure, virginal. Also see Catherine.
Cathlene	Irish	Pure, virginal. Also see Catherine.
Cathy		Pure. From the name Catherine or Katherine. Also used as an independent name.
Catrin	Welsh	Pure.
Catriona	Gaelic	Pure. From the name Catherine or Katherine. Also used as an independent name.
Cauvery	Hindu	Cavery
Cayla		Pure. From the name Catherine or Katherine. Also used as an independent name.
Cayleigh	Gaelic	party
Ceana		God is gracious.
Cecania	German	free
Cecia	Seesha, Sessi	
Cecile		Blind.
Cecilia	Latin	The blind one, or the sixth. The feminine form of Cecil. Also see Sheila.
Cecily	Irish	The blind one, or the sixth. .
Ceinwen	Welsh	Blessed and fair.
Celandia	Greek	the swallow
Celandine		A flower name.
Celena	Greek	The goddess of the moon.
Celene	Greek	The goddess of the moon.
Celeste	Latin	Heavenly.
Celestyn	Polish	Heaven.
Celia		The blind one, or the sixth. The feminine form of Cecil. Also see Sheila.
Celie	French	The blind one, or the sixth. The feminine form of Cecil. Also see Sheila.
Celina	Greek	The goddess of the moon.
Celine	Greek	The goddess of the moon.
Cerdwin	Celtic	the mother Goddess
Cerelia	Latin	of the spring
Ceres	Latin	The Roman goddess of corn and tillage.
Ceridwen	Welsh	Fair poetry.
Cerise	French	Cherry red.
Chaitaly	Hindu	
Chaitra	Hindu	aries sign
Chalsie		Seaport.
Chana		Gracious.
Chanah	Hebrew	grace
Chance	Old French	A church official or chancellor. A boy or girl's name.
Chandani	Sanskrit	name of the goddess devi
Chandi	Sanskrit	angry name of goddess sakti
Chandra	Sanskrit	A shining moon. A boy or girl's name.
Chane	Hindu, Swahili	name of a god, dependability
Chanel	French	The name of a famous perfume.
Chantal	French	From a family name meaning stone or boulder. The name has also come to mean a little singer.
Chantel		Rocky land or singer.
Charis	Greek	Grace, the graceful one.
Charisma	Greek	grace
Charissa	Greek	grace
Charisse		Grace, beauty, kindness.
Charity	Latin	Loving and benevolent. One of the three Graces in Greek mythology.
Charla		Womanly, full grown. Also see Carla, Carol and Caroline.
Charlee		Womanly, full grown. Also see Carla, Carol and Caroline.
Charleen		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Charleigh		Man.
Charlene		A free person. A feminine form of Charles, Also see Carla, Carol and Caroline.
Charline		Womanly, full grown. Also see Carla, Carol and Caroline.
Charlot		Womanly, full grown. Also see Carla, Carol and Caroline.
Charlotte		Womanly, full grown. Also see Carla, Carol and Caroline.
Charmaine	Greek	Delightful.
Charmian	Latin	From Shakespeare's play Antony &amp; Cleopatra.
Charo		A free person. From the name Carol.
Charu	Hindu	
Chastity	Latin	Pure and chaste.
Chavi		Female child.
Chay	Old German	man
Chaya	Hebrew	life
Chaylen	Aylen	
Chelle		Like the Lord. A feminine form of Michael. Also see Michaela.
Chelsa		Harbour.
Chelsea		From the name of a fashionable London suburb.
Chelsi		Seaport.
Chelsia		Harbour.
Chenoa	Native American	A white dove.
Cher	French	The beloved one.
Cheri		The beloved one.
Cherie		Beloved.
Cherilyn	English	Derived from Cher or Cheryl and Lynn. Cher and Cheryl - The beloved one. Lynn - A Waterfall.
Cherise	Greek	grace
Cherish	Old French	The treasured one.
Cherlin		The beloved one.
Cherry		The beloved one. Also a fruit name.
Cheryl		The beloved one.
Chesna	Slavonic	Peaceful.
Chevonne	Irish Gaelic	Form of Jane and Judith. Jane - God is gracious. Judith - A woman from Judea.
Chhavvi	Hindu	
Chhaya	Hindu	shadow
Chiara	Italian	Bright and famous. The name of an Irish county. Also See Clarice.
Chika	Japanese	near
Chilali	Native American	snowbird
Chimalis	Native American	bluebird
Chipo	African	gift
Chiquita	Spanish	The little one.
Chitra	Hindu	portrait
Chitrangda	Hindu	
Chizu	Japanese	A thousand storks. A name which implies longevity.
Chloe	Greek	A fertile young maiden.
Chloris	Greek	A plant lover.
Cho	Japanese/Korean	A butterfly. Korean beautiful.
